Date,AC.PA,ACA.PA,ALO.PA,BN.PA,DG.PA,DSY.PA,EDEN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LI.PA,MC.PA,ML.PA,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,SU.PA,TEP.PA,TTE.PA,URW.PA,VIV.PA,WLN.PA
2015-12-01,34.324119567871094,5.9785261154174805,22.70792007446289,47.98070526123047,44.47492980957031,14.407651901245117,15.129149436950684,8.807194709777832,32.349491119384766,27.930553436279297,57.935543060302734,119.67620849609375,23.344207763671875,131.92398071289062,17.017793655395508,142.68838500976562,8.896974563598633,43.1605224609375,84.20472717285156,306.80743408203125,72.40019226074219,60.847900390625,56.25798034667969,31.518352508544922,45.895137786865234,64.69902801513672,25.835966110229492,,4.250791549682617,23.959999084472656
2015-12-02,34.73358917236328,5.9209136962890625,22.485370635986328,48.295936584472656,44.56993865966797,14.419018745422363,14.676665306091309,8.751317977905273,33.1794319152832,27.819578170776367,57.59669876098633,118.56910705566406,23.46025848388672,132.8040313720703,16.956357955932617,143.9696502685547,8.960643768310547,43.61634063720703,84.86746215820312,308.4078369140625,72.19457244873047,60.696163177490234,55.874637603759766,31.671640396118164,45.79141616821289,64.89889526367188,25.7586727142334,,4.280562877655029,24.200000762939453
2015-12-03,34.01075744628906,5.839734077453613,22.020748138427734,45.82542419433594,43.07184600830078,14.1499662399292,14.030815124511719,8.487900733947754,32.086666107177734,27.08902931213379,57.75372314453125,118.27388763427734,22.553476333618164,126.72746276855469,16.29140281677246,137.77696228027344,8.69212818145752,42.918365478515625,81.63182067871094,301.7779235839844,69.64311218261719,58.7770881652832,53.68888473510742,30.403234481811523,44.004119873046875,63.749778747558594,24.55217933654785,,4.19337797164917,23.799999237060547
2015-12-04,34.11521530151367,5.810927867889404,21.806005477905273,46.001365661621094,43.14492416381836,14.174598693847656,13.856782913208008,8.498543739318848,31.745471954345703,26.947233200073242,57.803314208984375,118.4583969116211,22.483306884765625,127.60752868652344,16.42511558532715,136.0259246826172,8.553718566894531,42.51952362060547,81.16400909423828,301.1835021972656,70.71699523925781,58.00053405761719,53.305538177490234,30.510534286499023,44.27540588378906,63.92464828491211,23.99448585510254,,4.167860507965088,24.100000381469727
2015-12-07,34.081783294677734,5.742842197418213,22.63763999938965,46.70512771606445,43.99993133544922,14.377335548400879,13.860651016235352,8.493221282958984,31.999061584472656,26.749956130981445,58.348785400390625,118.53221130371094,22.634445190429688,129.45144653320312,16.566057205200195,139.39988708496094,8.69113826751709,43.03231430053711,82.06061553955078,306.53314208984375,71.85944366455078,58.152278900146484,53.92426681518555,30.955045700073242,44.762123107910156,64.77397155761719,23.6549072265625,,4.19337797164917,24.450000762939453
2015-12-08,33.51772689819336,5.583098888397217,22.411184310913086,46.690467834472656,43.63454818725586,14.184072494506836,13.798772811889648,8.368165016174316,31.644025802612305,25.91459846496582,57.82810592651367,117.1299057006836,22.71540069580078,126.14079284667969,16.472097396850586,136.53842163085938,8.635049819946289,42.09218978881836,81.2419662475586,300.4061279296875,70.2143325805664,57.438209533691406,52.90201187133789,30.34575843811035,44.27540588378906,64.18279266357422,23.42852210998535,,4.1338372230529785,23.899999618530273
2015-12-09,32.473175048828125,5.538581848144531,21.973894119262695,46.1259880065918,43.41530990600586,13.96617603302002,13.31148624420166,8.38679027557373,31.261333465576172,25.76972007751465,57.3131103515625,116.42876434326172,22.53458023071289,124.75782775878906,16.192020416259766,134.48841857910156,8.5032377243042,41.650611877441406,79.91653442382812,299.171630859375,70.09246826171875,55.93865203857422,51.96717071533203,29.76329231262207,43.724857330322266,63.77477264404297,23.646625518798828,,4.095560073852539,23.25
2015-12-10,32.765647888183594,5.467876434326172,21.657638549804688,45.722782135009766,42.82337951660156,13.831649780273438,13.238005638122559,8.527812004089355,31.261333465576172,25.701906204223633,57.33803176879883,116.5025634765625,22.380754470825195,124.04537200927734,16.157691955566406,133.59153747558594,8.480799674987793,41.99247741699219,80.26738739013672,295.74224853515625,70.63322448730469,56.384944915771484,51.62418746948242,29.67132568359375,43.88444137573242,63.50830841064453,23.787429809570312,,4.083864688873291,23.4950008392334
2015-12-11,32.43974685668945,5.3578901290893555,21.329669952392578,45.00436782836914,42.11452865600586,13.731228828430176,12.781655311584473,8.426702499389648,28.236637115478516,25.082319259643555,56.382816314697266,114.73120880126953,22.145965576171875,121.48906707763672,15.691497802734375,131.92591857910156,8.36581802368164,41.08796310424805,79.52670288085938,287.6948547363281,66.90126037597656,55.3227653503418,51.39552307128906,29.541034698486328,42.48811340332031,62.72560501098633,23.08064842224121,,4.045588970184326,23.200000762939453
2015-12-14,31.787944793701172,5.300278186798096,21.18520736694336,44.68180847167969,41.77107238769531,13.573963165283203,12.681103706359863,8.253751754760742,28.388795852661133,24.749412536621094,55.84292221069336,113.10747528076172,21.727657318115234,119.18416595458984,15.348180770874023,129.83323669433594,8.270465850830078,41.2588996887207,78.31819152832031,283.9455261230469,65.11904907226562,54.3498420715332,50.25893020629883,29.184656143188477,41.82585906982422,61.801326751708984,22.40700340270996,,3.9988067150115967,23.155000686645508
