Date,Return_mkt
2021-01-04,-1.2921676512603375
2021-01-05,0.2556752136179616
2021-01-06,4.2774966612843635
2021-01-07,1.673655333385265
2021-01-08,-0.1412703590568721
2021-01-11,0.2877315291677567
2021-01-12,0.7710857146222548
2021-01-13,-0.1857667378124086
2021-01-14,-0.1424174549254086
2021-01-15,-1.6097581866612467
2021-01-19,0.3950022374258608
2021-01-20,-0.2779354653113554
2021-01-21,-0.6771699478559804
2021-01-22,-0.9873530684091818
2021-01-25,-0.6879712797854355
2021-01-26,-0.9405645032635654
2021-01-27,-3.1604225564663557
2021-01-28,2.01241898502344
2021-01-29,-2.0614228728895765
2021-02-01,0.9123375821810488
2021-02-02,2.4512973272365746
2021-02-03,0.4395141970867962
2021-02-04,1.6937008403273015
2021-02-05,-0.1457978894642265
2021-02-08,0.9690690649918386
2021-02-09,0.2298106083015772
2021-02-10,0.0619508634755607
2021-02-11,-0.0157894540930852
2021-02-12,0.6326979013821242
2021-02-16,1.3384771408910283
2021-02-17,0.359483021670727
2021-02-18,-0.2774268373229013
2021-02-19,0.8005821520041174
2021-02-22,1.2577240192619827
2021-02-23,0.8853560547170708
2021-02-24,2.125301170336623
2021-02-25,-1.912360632096177
2021-02-26,-1.549232365562589
2021-03-01,2.7990796123859463
2021-03-02,-0.1144441323281845
2021-03-03,0.7837724610848561
2021-03-04,-1.0637890661424425
2021-03-05,2.0757280907157964
2021-03-08,1.4244904890039698
2021-03-09,-0.6145142298733667
2021-03-10,1.7000701865424324
2021-03-11,-0.0105926009425078
2021-03-12,1.1036626394093405
2021-03-15,-0.4868522522487322
2021-03-16,-0.8855831892600465
2021-03-17,0.4192113962746728
2021-03-18,0.7481791469623886
2021-03-19,-1.09578523291518
2021-03-22,-1.1465308794650657
2021-03-23,-1.3284985446338642
2021-03-24,0.5481409724762493
2021-03-25,1.422018197989611
2021-03-26,1.6729472364888438
2021-03-29,-0.8582432320808763
2021-03-30,0.5247344690516335
2021-03-31,-0.9044387602801828
2021-04-01,0.9822836914564456
2021-04-05,0.7426421166995371
2021-04-06,-0.2704975202023418
2021-04-07,0.4669031729002916
2021-04-08,0.0501052613411489
2021-04-09,1.113699545194432
2021-04-12,0.2768556562616957
2021-04-13,-0.9140945856282162
2021-04-14,0.706537441592068
2021-04-15,0.4032656390285092
2021-04-16,0.4879139741893512
2021-04-19,-0.1911698263382854
2021-04-20,-1.56549543437191
2021-04-21,1.322959660909676
2021-04-22,-1.0473745815081767
2021-04-23,1.6112763063007642
2021-04-26,0.271144869748662
2021-04-27,0.7647268065082135
2021-04-28,0.3702939689409498
2021-04-29,1.45323156475485
2021-04-30,-1.0837611294802894
2021-05-03,0.5812805941817578
2021-05-04,0.7129211113235429
2021-05-05,0.6946806376308302
2021-05-06,1.401144493895832
2021-05-07,0.502197298022356
2021-05-10,-0.1190802580756456
2021-05-11,-1.5268663251922168
2021-05-12,-1.3697057904121928
2021-05-13,1.6812410319510045
2021-05-14,1.3833700168693157
2021-05-17,0.1654083682704114
2021-05-18,-1.0889587994691452
2021-05-19,-0.574718175626728
2021-05-20,0.1172896265723126
2021-05-21,0.8887894796032981
2021-05-24,0.4553815749136125
2021-05-25,-0.8943264891426043
2021-05-26,0.1777679327994483
2021-05-27,0.9570482708338118
2021-05-28,-0.0074451729388206
2021-06-01,0.4856784775783221
2021-06-02,0.1391116603721995
2021-06-03,0.2051341682121434
2021-06-04,0.0893318948891099
2021-06-07,-0.6949900254608917
2021-06-08,-0.1096904879452623
2021-06-09,-1.046219381229774
2021-06-10,-0.9667214199293752
2021-06-11,0.4239263417806311
2021-06-14,-0.8906585355739879
2021-06-15,0.2504315814130293
2021-06-16,-0.1987939618286601
2021-06-17,-2.5061588381176607
2021-06-18,-2.262067257729217
2021-06-21,2.316975917346687
2021-06-22,0.1669231643292987
2021-06-23,0.0928174327817745
2021-06-24,1.056595476181556
2021-06-25,1.2924208152572685
2021-06-28,-0.9143439027897836
2021-06-29,-0.3320846981127696
2021-06-30,0.4161100665676225
2021-07-01,0.8469962817351179
2021-07-02,0.0564997650710602
2021-07-06,-1.3995231734781146
2021-07-07,-0.0054770423744412
2021-07-08,-1.8037848781366304
2021-07-09,2.5096726094655
2021-07-12,1.023744617407077
2021-07-13,-0.6533982838908903
2021-07-14,-0.3760285268908573
2021-07-15,0.4232308769098276
2021-07-16,-1.2915903876269772
2021-07-19,-3.1175625863200676
2021-07-20,2.2611618947639207
2021-07-21,1.5579382190710167
2021-07-22,-0.849386716928057
2021-07-23,0.366218736700748
2021-07-26,0.4756200987011518
2021-07-27,0.0174172682094725
2021-07-28,-0.4457400424706624
2021-07-29,1.0688458617236152
2021-07-30,-0.6822130828925393
2021-08-02,-0.2889810085589351
2021-08-03,0.8834515273204825
2021-08-04,-0.674550233696645
2021-08-05,0.629738471264069
2021-08-06,1.9098622802962304
2021-08-09,0.1323325878871221
2021-08-10,0.8918949675635884
2021-08-11,0.7379883848454228
2021-08-12,0.038130404142524
2021-08-13,-0.5899305943154362
2021-08-16,-0.0453911857870805
2021-08-17,-0.5726057980189967
2021-08-18,-1.108528965941301
2021-08-19,-0.5295231274103542
2021-08-20,0.5161707538366418
2021-08-23,0.6674221964055732
2021-08-24,0.707436733460686
2021-08-25,0.9006460195263376
2021-08-26,-0.6385394893233794
2021-08-27,1.233672475870228
2021-08-30,-1.3804644060341602
2021-08-31,-0.1908188613923983
2021-09-01,-0.5251388463135472
2021-09-02,0.3497079560490843
2021-09-03,-0.5537422213081967
2021-09-07,-0.3303326244611828
