"Date","ALL","PNC","MBI","AIG","HIG","UNM","HUM","KEY","CINF","GS","UNH","BK","NTRS","PGR","AXP","SEIC","FITB","ZION","CNA","BEN"
2022-12-28,0.488234486271946,0.866344427029848,0.507461778725553,0.808050885179362,0.805495403269527,0.58734431798955,0.402944962274511,0.85265467319706,0.642852025437577,0.873797048082691,0.627862145959147,0.820823892839411,0.8390033109957,0.566747966299211,0.828357679235282,0.80648173188544,0.852873931096619,0.816360567340726,0.757758586471146,0.763436419066244
2022-12-29,0.539211963022745,0.86754655620285,0.523317129879743,0.809110726075615,0.803886183238594,0.602189687889729,0.40604786242563,0.854617892958327,0.642955222583187,0.871074439475804,0.624619939750989,0.825953604560312,0.83523050932596,0.565748401212732,0.834641595048394,0.806994907505472,0.857362244610169,0.81595433667632,0.763910839938486,0.769980855207633
2022-12-30,0.544577218631186,0.867819838386005,0.541333593803851,0.809172601593512,0.804128500180831,0.620711177664784,0.398861518535777,0.855038996363998,0.643880861183206,0.87115661948967,0.619221326870628,0.828271385952781,0.835333773486982,0.579234091399886,0.835073908285644,0.807561835229127,0.857607112130958,0.816550716966753,0.764582495074048,0.770449623487912
2023-01-03,0.513746250551632,0.865511151813293,0.545527845071055,0.807916294221344,0.805505019116041,0.58658939381246,0.401768076231411,0.851960992873988,0.628063531758044,0.87289298859074,0.619289099039881,0.830136234602468,0.83993998455825,0.581222253001918,0.82751554476111,0.80806232392588,0.851496508436881,0.816331157359513,0.75722471074042,0.764845715111363
2023-01-04,0.505014501610072,0.863494981495708,0.543070234855137,0.805625234711692,0.803577531909861,0.531352556350087,0.407298774523219,0.850152551248185,0.617666515535604,0.871346977784826,0.624993516334533,0.816061963930722,0.837704563499187,0.582373510134696,0.826135243347335,0.805075002545736,0.855005680657532,0.8141015773503,0.754860741149086,0.76067193077366
2023-01-05,0.531240839820657,0.863109961632868,0.544527158302042,0.80573747916648,0.803946386159889,0.601238677629276,0.430733600835488,0.850590234888245,0.678119446391321,0.870952858013054,0.502550860446344,0.817702354557146,0.838379626241889,0.583766780156882,0.826582376771527,0.805243043244233,0.857040347368229,0.81518502863755,0.772998986753315,0.761105311310316
2023-01-06,0.514878920102507,0.868074742807021,0.54585540362972,0.810106697652161,0.797730065661358,0.460209636093277,0.50305805101227,0.864895048324364,0.599207052345205,0.871679248108143,0.581043394972115,0.815999467849604,0.837508618626086,0.582637541665708,0.82722404662447,0.806058602098612,0.860689458362352,0.818271409798155,0.755770768115163,0.761604531145307
2023-01-09,0.557180631544808,0.871772899972779,0.555006101999334,0.809713557081028,0.803502563479635,0.55612541626368,0.51165284309446,0.863800546602777,0.645046077610366,0.869962816601447,0.593638551854019,0.818596532167498,0.83527987378053,0.584579810274495,0.834073398849532,0.808420152732454,0.860697537012887,0.81918341811956,0.764562286007742,0.772096720632804
2023-01-10,0.564143776784478,0.871771633178335,0.554833909666879,0.810046277447435,0.800152323897349,0.566889719442165,0.52341738201161,0.861097008796245,0.645194467104156,0.868305266908535,0.6080740987381,0.817631944237722,0.835365146314878,0.583285468612503,0.834009626420011,0.808343574101747,0.860700576263835,0.819417466097429,0.763112270069508,0.77203066000981
2023-01-11,0.560494165798812,0.869565057261402,0.54752319545054,0.811152204491253,0.794999413610382,0.587223201994794,0.51701107997262,0.859122101607114,0.646534816738699,0.868901089745525,0.582836030690081,0.813946405235463,0.839592046743959,0.589471373149419,0.829601218519378,0.807607564651142,0.856311176901501,0.820304442289647,0.752837274060796,0.764559387763558
