Dates ASML_Holding LVMH Lindle_PLC TOTALENERGIES SANOFI SAP L'OREAL SIEMENS ALLIANZ SCHNEIDER Deutsche_Telekom AIR_LIQUIDE IBERDROLA AIRBUS BNPP BAYER AXA VINCI Prosus Essilor Hermès Anheuser Mercedes Santander RICARD BASF ADYEN SAFRAN ENEL Münchener KERING ING Nordea Deutsche_Borse Danone Intesa Deutsche_Post Infineon Stellantis BBVA AHOLD ENI Volkswagen CRH Nokia Inditex BMW Adidas Flutter VONOVIA EUROSTOXX50
18/01/2022 741.030029 767.979980 322.829987 57.430000 52.580002 136.429993 380.399994 146.940002 227.199997 164.440002 16.056000 140.981812 10.005000 118.279999 67.000000 52.919998 28.200001 98.529999 77.089996 171.320007 1300.500000 67.199997 75.160004 3.600000 197.850006 68.239998 1774.000000 113.680000 6.852000 272.299988 670.299988 15.350000 114.419998 154.500000 58.000000 2.580000 54.259998 39.549999 21.680000 6.570000 30.299999 30.209999 194.740005 52.400002 5.880000 32.049999 99.879997 253.949997 11040.000000 48.299999 4281.310059
19/01/2022 736.940002 789.929993 325.359985 58.160000 51.790001 137.220001 384.799988 146.460007 225.949997 161.899994 15.870000 141.109085 10.005000 116.199997 65.690002 52.580002 28.405001 97.680000 75.790001 173.639999 1350.500000 66.129997 73.900002 3.600000 200.300003 67.940002 1752.000000 112.000000 6.831000 271.899994 678.299988 15.240000 111.339996 154.899994 57.889999 2.565500 54.090000 39.404999 21.910000 6.540000 30.405001 30.559999 191.100006 52.799999 5.800000 32.990002 98.370003 252.050003 10765.000000 47.790001 4293.580078
20/01/2022 724.890015 800.000000 323.820007 57.040001 52.349998 139.279999 371.799988 142.179993 224.500000 156.979996 15.902000 139.236359 9.892000 115.559998 65.690002 51.540001 28.485001 98.139999 74.099998 172.000000 1338.000000 65.930000 74.089996 3.540000 196.550003 67.180000 1728.800049 112.620003 6.789000 271.799988 670.000000 14.890000 109.680000 155.100006 57.480000 2.564500 53.500000 38.000000 21.049999 6.410000 30.100000 30.170000 189.039993 52.490002 5.750000 33.360001 98.389999 250.949997 11300.000000 47.369999 4249.399902
21/01/2022 707.289978 791.570007 320.700012 56.090000 52.070000 137.369995 376.450012 144.740005 223.149994 159.899994 16.280001 141.272720 10.030000 115.080002 65.000000 52.040001 27.930000 99.000000 76.269997 175.000000 1372.500000 65.949997 74.000000 3.490000 198.399994 67.800003 1840.000000 112.239998 6.858000 271.799988 684.900024 14.680000 107.680000 158.949997 57.209999 2.525000 53.939999 38.125000 20.510000 6.360000 29.950001 29.700001 191.619995 51.110001 5.610000 32.279999 96.639999 258.200012 11160.000000 48.099998 4271.250000
24/01/2022 666.049988 765.159973 313.799988 54.490002 50.849998 132.160004 374.000000 145.039993 222.500000 159.899994 16.115999 141.236359 10.110000 114.000000 63.259998 52.209999 27.389999 98.279999 75.830002 173.979996 1347.500000 64.180000 72.040001 3.370000 197.649994 66.540001 1841.599976 111.879997 6.976000 264.600006 670.099976 14.160000 105.739998 160.350006 56.959999 2.553000 53.299999 36.810001 19.330000 6.200000 29.459999 28.940001 188.000000 49.000000 5.400000 31.150000 95.199997 250.649994 10895.000000 48.290001 4278.180176
25/01/2022 652.640015 755.000000 310.369995 55.040001 50.900002 130.800003 374.000000 144.039993 220.899994 156.380005 16.035999 140.618179 10.095000 112.519997 62.180000 51.290001 27.340000 97.690002 75.169998 172.440002 1341.500000 64.209999 71.480003 3.350000 196.550003 65.739998 1800.000000 109.559998 6.820000 265.649994 665.000000 14.310000 104.160004 162.000000 57.669998 2.540000 52.119999 36.299999 18.719999 6.180000 28.600000 29.340000 185.500000 48.730000 5.520000 31.799999 95.000000 249.199997 10750.000000 47.730000 4213.830078
26/01/2022 661.630005 769.549988 317.100006 57.740002 51.930000 133.320007 370.549988 139.320007 217.800003 151.860001 15.982000 138.927277 10.170000 108.820000 60.880001 50.349998 26.940001 96.730003 73.790001 168.820007 1337.000000 64.940002 69.199997 3.550000 194.800003 65.040001 1726.599976 105.580002 6.739000 260.850006 665.200012 14.920000 107.000000 160.850006 56.380001 2.490000 51.009998 34.919998 19.610001 6.360000 28.625000 30.420000 178.699997 49.310001 5.700000 30.580000 92.650002 243.350006 10600.000000 47.320000 4078.810059
27/01/2022 664.799988 770.080017 310.730011 58.389999 52.230000 123.919998 373.549988 139.779999 222.000000 150.240005 16.030001 138.690903 9.950000 111.000000 62.799999 51.230000 27.385000 96.279999 70.449997 167.380005 1313.500000 64.410004 69.430000 3.590000 191.250000 65.940002 1687.599976 106.760002 6.710000 272.000000 650.700012 14.880000 108.599998 153.800003 56.049999 2.503500 51.200001 35.415001 19.750000 6.380000 28.820000 30.799999 179.500000 48.990002 5.640000 31.340000 92.839996 241.050003 10350.000000 47.740002 4096.509766
28/01/2022 633.599976 795.270020 307.359985 56.959999 52.310001 119.699997 366.049988 137.839996 223.250000 147.539993 16.034000 138.090912 9.890000 111.120003 63.369999 51.139999 27.584999 95.889999 69.000000 164.199997 1285.000000 61.919998 69.459999 3.520000 190.000000 66.510002 1670.400024 106.680000 6.615000 278.000000 641.900024 14.490000 110.000000 153.800003 55.750000 2.540000 51.450001 35.334999 19.100000 6.290000 28.000000 30.389999 179.899994 49.130001 5.630000 30.580000 93.010002 237.699997 10675.000000 48.610001 4144.779785
31/01/2022 650.700012 781.280029 310.059998 56.470001 51.770000 121.820000 371.600006 139.639999 227.500000 150.300003 16.700001 138.381821 10.155000 113.500000 64.110001 52.500000 28.000000 98.510002 70.000000 167.979996 1317.500000 61.630001 70.800003 3.480000 193.000000 68.099998 1748.199951 107.480003 6.848000 278.000000 667.099976 14.670000 110.959999 155.500000 56.630001 2.608000 52.360001 36.049999 18.900000 6.290000 28.594999 30.049999 186.820007 49.590000 5.800000 30.510000 94.000000 241.199997 11120.000000 50.759998 4174.569824
01/02/2022 682.549988 831.020020 320.440002 57.099998 51.529999 126.550003 371.149994 140.339996 229.649994 149.899994 16.799999 138.690903 10.165000 112.760002 63.509998 54.240002 28.285000 97.500000 71.919998 167.080002 1311.500000 64.010002 70.620003 3.550000 191.600006 68.900002 1764.000000 105.680000 6.898000 278.250000 656.500000 14.910000 111.099998 155.399994 55.349998 2.670000 53.099998 35.720001 19.480000 6.430000 28.855000 29.980000 185.660004 51.150002 5.920000 30.740000 93.379997 238.600006 11235.000000 51.000000 4161.770020
02/02/2022 687.950012 820.000000 320.329987 57.360001 52.160000 127.000000 380.950012 140.600006 228.100006 151.500000 16.799999 138.290909 10.220000 113.580002 63.840000 53.880001 28.145000 97.150002 73.529999 168.100006 1330.000000 64.330002 70.000000 3.650000 190.449997 67.889999 1825.000000 108.779999 6.841000 280.899994 662.700012 15.430000 112.820000 156.649994 55.430000 2.636000 53.220001 36.855000 19.860001 6.610000 28.860001 30.469999 184.020004 52.279999 5.950000 30.350000 93.209999 244.300003 11440.000000 50.500000 4184.629883
