Date,BAC,C,GS,JPM,MS
2010-01-04,12.232428550720215,25.22809600830078,131.2891845703125,28.552141189575195,21.86296272277832
2010-01-05,12.630040168762207,26.19269371032715,133.6103515625,29.105201721191406,22.662220001220703
2010-01-06,12.778166770935059,27.008909225463867,132.1842803955078,29.265104293823242,22.95221710205078
2010-01-07,13.199172973632812,27.08310317993164,134.77090454101562,29.844825744628906,23.284656524658203
2010-01-08,13.08222770690918,26.637903213500977,132.22215270996094,29.771522521972656,22.81075668334961
2010-01-11,13.199172973632812,26.9346923828125,130.13621520996094,29.671579360961914,22.662220001220703
2010-01-12,12.754783630371094,26.118497848510742,127.29925537109375,28.978591918945312,22.018569946289062
2010-01-13,12.957487106323242,25.970094680786133,128.24742126464844,29.48499298095703,22.110515594482422
2010-01-14,13.113410949707031,26.044300079345703,127.83786010742188,29.778182983398438,22.068078994750977
2010-01-15,12.676815032958984,25.37649154663086,125.3194580078125,29.105201721191406,21.48808479309082
2010-01-19,12.723594665527344,26.26690101623535,126.57105255126953,28.838661193847656,22.039783477783203
2010-01-20,12.856130599975586,25.673295974731445,127.27647399902344,28.91861915588379,21.664918899536133
2010-01-21,12.060914039611816,24.26349449157715,122.02732849121094,27.01291275024414,20.752487182617188
2010-01-22,11.6165189743042,24.115089416503906,116.90718078613281,26.093387603759766,19.663217544555664
2010-01-25,11.678889274597168,23.966686248779297,117.55953979492188,26.1267147064209,19.62078857421875
2010-01-26,11.515165328979492,23.373088836669922,114.44944763183594,25.61362648010254,19.33078384399414
2010-01-27,11.842611312866211,23.744091033935547,114.91973114013672,26.206663131713867,19.805557250976562
2010-01-28,11.98294734954834,24.0408935546875,116.27754974365234,26.30661392211914,19.47960090637207
2010-01-29,11.834814071655273,24.634492874145508,112.81098937988281,25.946796417236328,18.97648811340332
2010-02-01,12.021926879882812,24.78289031982422,116.15621948242188,26.406572341918945,19.52919578552246
2010-02-02,12.162261009216309,25.302289962768555,119.0462417602539,27.01959228515625,19.88350486755371
2010-02-03,12.107687950134277,25.005489349365234,119.26620483398438,26.846349716186523,19.763046264648438
2010-02-04,11.499573707580566,23.595687866210938,114.2977066040039,25.553674697875977,18.870201110839844
2010-02-05,11.694482803344727,23.892492294311523,116.93748474121094,25.520357131958008,19.316619873046875
2010-02-08,11.289070129394531,23.373088836669922,114.61629486083984,25.120559692382812,18.848941802978516
2010-02-09,11.281272888183594,23.595687866210938,115.6706771850586,25.5803165435791,19.22449493408203
2010-02-10,11.437201499938965,23.744091033935547,116.53545379638672,25.9001522064209,19.493772506713867
2010-02-11,11.40601634979248,23.81829071044922,116.85411071777344,26.00010871887207,19.21741485595703
2010-02-12,11.265684127807617,23.595687866210938,116.76302337646484,25.953453063964844,19.245758056640625
2010-02-16,11.819221496582031,24.560293197631836,119.39513397216797,26.699743270874023,19.713436126708984
2010-02-17,12.209037780761719,25.302289962768555,119.28897094726562,26.679763793945312,19.40873908996582
2010-02-18,12.380558013916016,25.45069694519043,118.12842559814453,26.926298141479492,19.316619873046875
2010-02-19,12.380558013916016,25.37649154663086,118.4697494506836,26.673097610473633,19.422910690307617
2010-02-22,12.637834548950195,25.673295974731445,118.87179565429688,27.219482421875,19.6354923248291
2010-02-23,12.427338600158691,24.85709571838379,118.86421203613281,26.573144912719727,19.23866844177246
2010-02-24,12.731392860412598,25.599088668823242,120.10062408447266,27.219482421875,19.720523834228516
2010-02-25,12.90291690826416,25.153894424438477,118.66693878173828,27.079561233520508,19.656753540039062
2010-02-26,12.98867130279541,25.22809600830078,118.8646469116211,27.965770721435547,19.968530654907227
2010-03-01,13.027653694152832,25.153894424438477,119.00908660888672,27.87248420715332,19.975624084472656
2010-03-02,12.832742691040039,25.22809600830078,120.68924713134766,27.732566833496094,20.337018966674805
2010-03-03,12.770336151123047,25.22809600830078,119.90612030029297,27.672584533691406,20.06774139404297
2010-03-04,12.793739318847656,25.45069694519043,124.38404846191406,27.932456970214844,20.691316604614258
2010-03-05,13.027770042419434,25.970094680786133,127.09803009033203,28.52549934387207,20.840120315551758
2010-03-08,13.058972358703613,26.415294647216797,129.12039184570312,28.37889862060547,20.960590362548828
2010-03-09,13.105783462524414,28.344505310058594,128.3677520751953,28.265602111816406,20.585020065307617
2010-03-10,13.347615242004395,29.383310317993164,130.71682739257812,28.605438232421875,21.236936569213867
2010-03-11,13.355416297912598,31.01571273803711,131.91046142578125,28.772029876708984,21.272369384765625
2010-03-12,13.144784927368164,29.45751953125,133.0128173828125,28.752042770385742,21.194425582885742
2010-03-15,13.144784927368164,28.863906860351562,131.92567443847656,28.698740005493164,21.003103256225586
2010-03-16,13.28520679473877,30.05112075805664,133.94790649414062,28.812013626098633,21.47786521911621
2010-03-17,13.472429275512695,30.05112075805664,134.2900848388672,29.178491592407227,21.456613540649414
2010-03-18,13.324209213256836,29.828508377075195,134.90582275390625,29.07854461669922,21.31489372253418
2010-03-19,13.121380805969238,28.9381103515625,135.2479705810547,28.951940536499023,20.99601936340332
2010-03-22,13.230596542358398,29.97690773010254,133.92515563964844,29.14516830444336,20.974763870239258
2010-03-23,13.363216400146484,30.64472007751465,132.91397094726562,29.70488929748535,20.925153732299805
2010-03-24,13.706461906433105,30.793109893798828,132.5947265625,29.94475555419922,20.8117733001709
2010-03-25,13.839081764221191,31.683515548706055,132.96719360351562,29.94475555419922,20.485820770263672
2010-03-26,13.963900566101074,31.980316162109375,131.42388916015625,29.998079299926758,20.44330406188965
2010-03-29,14.073116302490234,31.01571273803711,132.32102966308594,29.891462326049805,20.854297637939453
